from_address,to_address,value_eth,timestamp,block_number,root_address,label
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0.0,1502546640,4148771,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0.0,1502546769,4148781,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0.0,1502546955,4148791,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0.0,1502547790,4148832,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,0.0,1502550332,4148945,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,0.0,1502973291,4169134,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,0.0,1502973806,4169163,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x2ae8791c0b581726cf962b534d1e50bfe5d3dfb2,9.0,1502988292,4169900,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,0.0,1503226437,4181394,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,0.0,1503226949,4181421,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,0.0,1503227259,4181439,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,0.0,1503228836,4181516,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,0.0,1503229105,4181526,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x4470bb87d77b963a013db939be332f927f2b992e,0.0,1503229469,4181544,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x4470bb87d77b963a013db939be332f927f2b992e,0.0,1503229803,4181564,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xe94327d07fc17907b4db788e5adf2ed424addff6,0.0,1503759942,4206239,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xe94327d07fc17907b4db788e5adf2ed424addff6,0.0,1503760402,4206250,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x888666ca69e0f178ded6d75b5726cee99a87d698,0.0,1504308516,4228481,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x8ae4bf2c33a8e667de34b54938b0ccd03eb8cc06,0.0,1504309033,4228507,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x888666ca69e0f178ded6d75b5726cee99a87d698,0.0,1504309388,4228527,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x888666ca69e0f178ded6d75b5726cee99a87d698,0.0,1504309901,4228544,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x667088b212ce3d06a1b553a7221e1fd19000d9af,0.0,1504310449,4228559,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0x67610daa332baafa42061a62fadc121bc725ce00,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0.2,1504310601,4228564,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x888666ca69e0f178ded6d75b5726cee99a87d698,0.0,1504310728,4228569,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xa74476443119a942de498590fe1f2454d7d4ac0d,0.0,1504311096,4228584,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xa74476443119a942de498590fe1f2454d7d4ac0d,0.0,1504311349,4228602,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xa74476443119a942de498590fe1f2454d7d4ac0d,0.0,1504312057,4228638,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c,0.0,1505147608,4262955,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0.0,1505148666,4262988,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x41e5560054824ea6b0732e656e3ad64e20e94e45,0.0,1505151171,4263093,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0.0,1505481642,4276800,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x12fef5e57bf45873cd9b62e9dbd7bfb99e32d73e,0.0,1505481647,4276801,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0.0,1505481789,4276807,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,0.0,1505481875,4276811,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0.0,1505481917,4276813,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xa645264c5603e96c3b0b078cdab68733794b0a71,0.0,1505481917,4276813,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xcfb98637bcae43c13323eaa1731ced2b716962fd,0.0,1505481917,4276813,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xaaaf91d9b90df800df4f55c205fd6989c977e73a,0.0,1505481947,4276814,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xcb94be6f13a1182e4a4b6140cb7bf2025d28e41b,0.0,1505482111,4276819,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xcfb98637bcae43c13323eaa1731ced2b716962fd,0.0,1505482269,4276826,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,0.0,1505482364,4276828,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x6531f133e6deebe7f2dce5a0441aa7ef330b4e53,0.0,1505482430,4276829,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xb110ec7b1dcb8fab8dedbf28f53bc63ea5bedd84,0.0,1505482448,4276831,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x66497a283e0a007ba3974e837784c6ae323447de,0.0,1505489130,4277108,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0.0,1505493800,4277318,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x5af2be193a6abca9c8817001f45744777db30756,0.0,1505950416,4296359,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x5af2be193a6abca9c8817001f45744777db30756,0.0,1505952599,4296465,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x5af2be193a6abca9c8817001f45744777db30756,0.0,1505961678,4296835,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0.0,1506431690,4313339,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x32443310b95bc7fd6177921292b4f5857a94929c,0.07,1506431856,4313345,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0.0,1506431901,4313346,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,0.0,1507031450,4333161,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,0.0,1507032312,4333188,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x697beac28b09e122c4332d163985e8a73121b97f,0.0,1507032964,4333209,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x983f6d60db79ea8ca4eb9968c6aff8cfa04b3c63,0.0,1507216330,4339385,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x983f6d60db79ea8ca4eb9968c6aff8cfa04b3c63,0.0,1507217550,4339429,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x983f6d60db79ea8ca4eb9968c6aff8cfa04b3c63,0.0,1507219675,4339499,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x983f6d60db79ea8ca4eb9968c6aff8cfa04b3c63,0.0,1507220131,4339506,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x983f6d60db79ea8ca4eb9968c6aff8cfa04b3c63,0.0,1507222594,4339591,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x983f6d60db79ea8ca4eb9968c6aff8cfa04b3c63,0.0,1507222804,4339601,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x607f4c5bb672230e8672085532f7e901544a7375,0.0,1509365563,4457749,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x6217ac5492151dbed2a08751d19c0a079dea07df,0.02,1509365679,4457761,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0.0,1509630365,4476678,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x607f4c5bb672230e8672085532f7e901544a7375,0.0,1509665989,4479217,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,0.0,1509925534,4497930,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,0.0,1509953311,4499966,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,0.0,1509957401,4500228,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xb97048628db6b661d4c2aa833e95dbe1a905b280,0.0,1511190138,4589018,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xdee0cc222c5219ea79ca263beabdec5f9fc13dbc,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0.2,1511271417,4594828,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x36bb0e89f241370a01ef4a00df07577d499a94b9,0.1,1511279176,4595352,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0.0,1511279275,4595359,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0.0,1511279364,4595367,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af,0.0,1511279474,4595370,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x621d78f2ef2fd937bfca696cabaf9a779f59b3ed,0.0,1511279484,4595371,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x7654915a1b82d6d2d0afc37c52af556ea8983c7e,0.0,1511279508,4595372,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xfca47962d45adfdfd1ab2d972315db4ce7ccf094,0.0,1511279508,4595372,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x514910771af9ca656af840dff83e8264ecf986ca,0.0,1511279551,4595375,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x40395044ac3c0c57051906da938b54bd6557f212,0.0,1511279551,4595375,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0.0,1511279602,4595381,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x671abbe5ce652491985342e85428eb1b07bc6c64,0.0,1511279602,4595381,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x83eea00d838f92dec4d1475697b9f4d3537b56e3,0.0,1511279602,4595381,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0xd3c00772b24d997a812249ca637a921e81357701,0.0,1511279668,4595383,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x960b236a07cf122663c4303350609a66a7b288c0,0.0,1511279680,4595384,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,0x36bb0e89f241370a01ef4a00df07577d499a94b9,0.12145606161297,1511279749,4595389,0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,phishing
